1,BCR2000-MIDI-1
2,BCR2000-MIDI-2
3,BCR2000-MIDI-3
5,USB-Midi-4i4o-MIDI-1
6,USB-Midi-4i4o-MIDI-2
7,USB-Midi-4i4o-MIDI-3
8,USB-Midi-4i4o-MIDI-4
9,LPK25-MIDI-1
10,M-Audio-Delta-1010-MIDI
11,Axiom-25-MIDI-1
12,Axiom-25-MIDI-2
13,Axiom-25-MIDI-3
14,MicroBrute-MIDI-1
